id,conference_id,abbr,url
1,1,canonical,sponsors/cndt2020/canonical.png
2,1,casareal,sponsors/cndt2020/casareal.png
3,1,circleci,sponsors/cndt2020/circleci.png
4,1,cyberagent,sponsors/cndt2020/cyberagent.png
5,1,kuroco,sponsors/cndt2020/diverta.png
6,1,nginx,sponsors/cndt2020/f5.jpg
12,1,jfrog,sponsors/cndt2020/jfrog.png
13,1,legalforce,sponsors/cndt2020/legalforce.png
14,1,microsoft,sponsors/cndt2020/microsoft.png
15,1,nttdata,sponsors/cndt2020/nttdata.png
16,1,Oracle,sponsors/cndt2020/oracle.png
17,1,rancherlabs,sponsors/cndt2020/rancherlabs.png
18,1,redhat,sponsors/cndt2020/redhat.png
19,1,sios,sponsors/cndt2020/sios.png
20,1,sysdig,sponsors/cndt2020/sysdig.png
21,1,newrelic,sponsors/cndt2020/newrelic.png
22,1,suse,sponsors/cndt2020/suse.png
23,1,vmware,sponsors/cndt2020/vmware.png
24,1,mirantis,sponsors/cndt2020/mirantis.png
25,1,elastic,sponsors/cndt2020/elastic.png
26,1,Plaid,sponsors/cndt2020/plaid.png
27,1,nec,sponsors/cndt2020/nec.png
28,1,lf,sponsors/cndt2020/cncf.jpg
30,2,circleci,sponsors/cndo2021/circleci.png
31,2,newrelic,sponsors/cndo2021/newrelic.png
32,2,jfrog,sponsors/cndo2021/jfrog.png
33,2,datadog,sponsors/cndo2021/datadog.png
34,2,redhat,sponsors/cndo2021/redhat.png
35,2,gmo,sponsors/cndo2021/gmo.png
36,2,suse,sponsors/cndo2021/suse.png
37,2,acquia,sponsors/cndo2021/acquia.png
38,2,vmware,sponsors/cndo2021/vmware.png
39,2,microsoft,sponsors/cndo2021/microsoft.png
40,2,nginx,sponsors/cndo2021/nginx.png
41,2,scsk,sponsors/cndo2021/scsk.png
42,2,line,sponsors/cndo2021/line.png
