id,talk_id,conference_id,status
1302,1302,15,1
1303,1303,15,1
1304,1304,15,1
1305,1305,15,1
1306,1306,15,1
1307,1307,15,1
1308,1308,15,1
1309,1309,15,1
1310,1310,15,1
1311,1311,15,1
1312,1312,15,1
1313,1313,15,1
1314,1314,15,1
1315,1315,15,1
1316,1316,15,1
1317,1317,15,1
1318,1318,15,1
1319,1319,15,1
1320,1320,15,1
1321,1321,15,1
1322,1322,15,1
1323,1323,15,1
1324,1324,15,1
1325,1325,15,1
1326,1326,15,1
1327,1327,15,1
1328,1328,15,1
1329,1329,15,1
1330,1330,15,1
1402,1402,15,1
1403,1403,15,1
1404,1404,15,1
1405,1405,15,1
1406,1406,15,1
1407,1407,15,1
1408,1408,15,1
1409,1409,15,1
1410,1410,15,1
1411,1411,15,1
1412,1412,15,1
1413,1413,15,1
1414,1414,15,1
1415,1415,15,1
1416,1416,15,1
1417,1417,15,1
1418,1418,15,1
1419,1419,15,1
1420,1420,15,1
1421,1421,15,1
1422,1422,15,1
1423,1423,15,1
1424,1424,15,1
1425,1425,15,1
1426,1426,15,1
1427,1427,15,1
1428,1428,15,1
1429,1429,15,1
1430,1430,15,1
